Date,Country,Product,Demand
2012-10-01,Country_0,Product_0,46.0
2012-11-01,Country_0,Product_0,208.0
2012-12-01,Country_0,Product_0,14.0
2013-01-01,Country_0,Product_0,18.0
2013-02-01,Country_0,Product_0,6.0
2013-03-01,Country_0,Product_0,28.0
2013-04-01,Country_0,Product_0,17.0
2013-05-01,Country_0,Product_0,15.0
2013-06-01,Country_0,Product_0,10.0
2013-07-01,Country_0,Product_0,21.0
2013-08-01,Country_0,Product_0,23.0
2013-09-01,Country_0,Product_0,15.0
2013-10-01,Country_0,Product_0,25.0
2013-11-01,Country_0,Product_0,221.0
2013-12-01,Country_0,Product_0,22.0
2014-01-01,Country_0,Product_0,37.0
2014-02-01,Country_0,Product_0,144.0
2014-03-01,Country_0,Product_0,246.0
2014-04-01,Country_0,Product_0,77.0
2014-05-01,Country_0,Product_0,73.0
2014-06-01,Country_0,Product_0,233.0
2014-07-01,Country_0,Product_0,42.0
2014-08-01,Country_0,Product_0,107.0
2014-09-01,Country_0,Product_0,64.0
2014-10-01,Country_0,Product_0,69.0
2014-11-01,Country_0,Product_0,40.0
2014-12-01,Country_0,Product_0,157.0
2015-01-01,Country_0,Product_0,24.0
2015-02-01,Country_0,Product_0,16.0
2015-03-01,Country_0,Product_0,24.0
2015-04-01,Country_0,Product_0,66.0
2015-05-01,Country_0,Product_0,40.0
2015-06-01,Country_0,Product_0,11.0
2015-07-01,Country_0,Product_0,68.0
2015-08-01,Country_0,Product_0,86.0
2015-09-01,Country_0,Product_0,33.0
2015-10-01,Country_0,Product_0,82.0
2015-11-01,Country_0,Product_0,17.0
2015-12-01,Country_0,Product_0,22.0
2016-01-01,Country_0,Product_0,39.0
2016-02-01,Country_0,Product_0,27.0
2016-03-01,Country_0,Product_0,25.0
2016-04-01,Country_0,Product_0,22.0
2016-05-01,Country_0,Product_0,27.0
2016-06-01,Country_0,Product_0,27.0
2016-07-01,Country_0,Product_0,40.0
2016-08-01,Country_0,Product_0,79.0
2016-09-01,Country_0,Product_0,94.0
2016-10-01,Country_0,Product_0,53.0
2016-11-01,Country_0,Product_0,52.0
2016-12-01,Country_0,Product_0,108.0
2017-01-01,Country_0,Product_0,122.0
2017-02-01,Country_0,Product_0,121.0
2017-03-01,Country_0,Product_0,149.0
2017-04-01,Country_0,Product_0,62.0
2017-05-01,Country_0,Product_0,46.0
2017-06-01,Country_0,Product_0,284.0
2017-07-01,Country_0,Product_0,55.0
2017-08-01,Country_0,Product_0,49.0
2017-09-01,Country_0,Product_0,46.0
2017-10-01,Country_0,Product_0,71.0
2017-11-01,Country_0,Product_0,61.0
