;model;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2018-12;2019-01;2019-02;2019-03
Country_0 Product_4;RWD;404434;338979;429631;375479;476205;442663;489896;439415;610121;481154;668959;516346;637422;600592;852966;670717;548733;1125032;953171;952713;865291;1134938;965139;885235;996605;1027121;1274360;1093521;883645;570917;879145;867670;1293474;2280614;1653876;1152901;1187928.816;1224020.858;1261209.458;1299527.935;1339010.614;1379692.869
Country_0 Product_5;RWD;33346;27280;18648;19012;23068;35560;33098;27714;21528;46618;45920;24292;36392;36884;25512;52548;37550;42134;47146;38868;62384;76100;43996;52720;50648;35152;43556;53580;54408;48368;69316;55084;48412;46988;35740;38812;38980.6891;39150.11137;39320.26997;39491.16812;39662.80902;39835.19592
Country_0 Product_6;NNAR;18432;28862;35079;30875;33108;24913;16919;25864;32759;38570;39102;31176;38031;32665;31374;74061;53675;55593;41448;36289;50511;59501;52249;51019;57506;69248;60200;51801;38233;44029;64085;48904;43825;67501;80251;66473;66797.85302;63422.01403;59622.67445;61287.14477;53695.11314;56604.65664
Country_0 Product_7;RWD;52262;30758;40872;38971;55319;58176;49288;74585;80932;97563;143046;56737;81106;85292;149705;169753;147351;278022;342703;291849;187971;203556;270467;117337;200353;389939;273080;281741;273424;248842;296140;339778;495254;469154;446411;416304;441732.8622;468714.9775;497345.2222;527724.2677;559958.9349;594162.5693
Country_0 Product_8;ETS;714938;935633;1038493;713877;611168;860211;696990;768663;773654;622678;1063453;739814;854632;894743;877417;1030029;497424;744315;730610;980383;693105;1023114;894411;743385;974179;888564;1265228;1631716;939012;816860;700361;704854;656062;690329;702951;597978;813370.9855;813370.9855;813370.9855;813370.9855;813370.9855;813370.9855
Country_10 Product_4;RWD;57013;53523;55808;39630;44924;67520;52990;46420;71942;51706;51466;57612;58901;72127;62024;58108;48365;56397;41840;58989;53538;48162;76587;50716;55278;68655;50193;70129;82659;60534;70839;68160;73425;71035;81248;60018;60106.14568;60194.42081;60282.82559;60371.3602;60460.02483;60548.81968
Country_10 Product_5;ETS;15884;19624;13148;11202;18474;11848;14068;11304;16184;12940;10756;13128;15444;14466;9760;17492;9348;13784;9600;7318;14180;6524;11010;11812;10804;6588;5992;12528;7704;9960;8856;9564;5400;2460;6296;8228;6234.029131;6062.373399;5895.443496;5733.109319;5575.244341;5421.725522
Country_10 Product_6;ETS;14723;14214;9214;17730;21454;17489;17585;12901;17017;17024;11245;16500;20708;19646;13698;14020;16542;12240;10569;16415;10840;14694;12191;20262;13907;18136;16184;16002;18815;14237;13905;19113;12220;19673;19648;10105;15226.32967;15226.32967;15226.32967;15226.32967;15226.32967;15226.32967
Country_10 Product_7;ENSEM;8382;9770;7957;9502;11479;16359;16772;8954;14013;10680;10364;10349;14165;12004;14663;15718;13054;14767;14146;17641;9196;11190;20674;16809;18545;23177;15796;12744;24799;21551;11088;11676;11180;10624;19315;18583;16970.1394;17810.91172;16202.09689;16423.19157;18185.09904;18325.0721
Country_10 Product_8;RWD;60010;57564;52988;57374;44781;54970;45129;52623;67238;60174;61663;57151;44670;56017;41334;41174;35980;25147;33954;69514;35472;48050;49868;48113;49817;37923;24159;46141;41556;35835;49780;36464;37247;47422;62613;29533;28940.75629;28360.38882;27791.65942;27234.33472;26688.18602;26152.98921
Country_11 Product_4;ETS;3090672;3108561;2640060;2675676;3190804;3441058;3311502;3318094;3825668;3337881;3390734;3875451;3691510;3634058;3464428;3561598;3674509;4765071;4005407;4438433;4024296;4611936;4307172;4333315;4299478;4253997;4195087;4561826;4545118;4604274;5272326;4570676;5253932;7001887;6063602;5190646;5632149.283;5737013.659;5843830.494;5952636.139;6063467.625;6176362.67
Country_11 Product_5;ENSEM;206884;214560;188842;170192;233562;233322;226636;208264;240776;229340;226948;208708;225132;258628;221218;272684;275826;315550;252810;270376;284884;265872;239632;255462;245856;245684;200832;272328;247988;279220;268148;243188;260484;254768;237672;220220;244434.4001;247731.972;239027.0552;238581.5644;234731.0784;239195.4107
Country_11 Product_6;ENSEM;471928;451317;357220;392273;512953;495971;486363;470250;550341;535678;488421;565314;501691;581788;490404;559554;584618;676175;538326;630332;562615;620390;650821;708647;672735;690166;521218;634255;573506;687571;735134;650246;633096;783965;862525;729470;761832.6997;768314.9655;742330.9707;775218.7745;767158.4077;793484.814
