;model;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2018-12;2019-01;2019-02;2019-03
Country_0 Product_0;ENSEM;46;208;14;18;6;28;17;15;10;21;23;15;25;221;22;37;144;246;77;73;233;42;107;64;69;40;157;24;16;24;66;40;11;68;86;33;82;17;22;39;27;25;22;27;27;40;79;94;53;52;108;122;121;149;62;46;284;55;49;46;71;61;91;51;53;36;141;148;59;81;17;36;51.7;44.7;41.6;51.2;56.9;51.9
Country_0 Product_1;NNAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5;3;2;19;3;5;47;3;19;25;20;10;41;8;3;73;76;35;78;28;97;62;119;95;72;138;73;17;90;158;73;14;45;168;234;83.0;74.7;88.0;74.5;61.9;74.8
Country_0 Product_10;PROPHET;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;7;0;15;0;1;1;6;3;4;2;6;31;9;3;8;8;25;28;24;3;15;26;24;84;15;85;42;9;38;70;21;19;47;70;61;34;128;35;0;28.4;47.7;50.7;65.4;47.8;62.9
Country_0 Product_11;ETS;0;0;0;0;0;0;0;46;19;35;25;33;56;74;107;153;62;96;133;205;133;309;248;231;220;305;210;299;466;330;446;579;600;442;628;284;1029;132;477;346;480;609;853;778;789;1026;1419;620;962;959;1807;1716;1405;2049;2838;2737;1480;2165;2535;1456;2607;3315;3295;2830;2520;2340;2506;2128;5728;2712;4802;3019;3393.6;3420.4;3445.8;3470.0;3493.0;3514.9
Country_0 Product_12;ENSEM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;6;0;2;4;3;10;10;16;5;9;8;16;29;12;23;50;23;43;34;56;65;148;143;55;126;87;108;171;129;124;154;120;94;162;260;259;166;243;302;324;157;258;195;333;272;355;381;330;339.4;355.1;370.8;386.1;383.0;406.3
Country_0 Product_13;PROPHET;20776;32321;49780;22236;10270;38911;42731;40134;34897;37141;34413;24464;22364;44023;63938;50462;24803;19360;45279;39005;31569;35726;41079;32586;46314;32451;51318;27683;18420;44872;37410;28194;41573;37500;38981;28040;43753;36162;30955;25030;17042;39821;29789;28407;36662;35337;31394;26053;27571;34077;35400;28501;19952;28072;33458;30049;29315;27027;27925;28497;19642;25825;9642;15137;11041;27343;28458;20992;8828;5631;7124;4151;9240.1;8529.3;7860.1;5768.8;3484.0;6321.1
Country_0 Product_14;RWD;2426;4574;3367;4871;2223;2417;3385;3640;3284;3599;2344;1298;5098;2842;3736;5002;1422;2290;1936;2670;1593;1163;828;958;1052;662;443;647;467;517;453;440;605;473;575;58;451;161;135;417;263;248;389;224;219;299;652;108;158;321;98;138;110;253;85;170;147;92;295;173;181;122;110;57;95;86;2;NA;113;93;289;18;16.7;15.6;14.5;13.5;12.5;11.6
Country_0 Product_16;NNAR;2897;5381;6653;5528;3683;3973;8295;8186;8145;7394;5966;2982;8754;6239;7907;8491;4164;6665;5699;7023;6184;7353;9325;3275;7702;5735;7784;5151;5773;5856;5384;5773;4520;5470;6054;3219;4947;6078;5840;4358;3686;6152;5131;4980;4303;4149;6119;3635;4904;4865;4832;4139;3001;4877;4645;5240;3331;5536;6160;4044;6316;5215;9315;9460;4873;2367;3342;3259;3040;3431;3176;1522;3854.2;4290.3;6503.9;6203.1;5184.7;3530.9
Country_0 Product_17;ETS;143;159;77;80;59;55;109;113;96;209;127;69;127;113;163;170;157;108;134;169;146;150;178;118;168;154;219;139;133;217;186;294;135;399;245;177;189;280;367;260;167;259;168;118;275;140;243;138;157;216;143;240;283;294;172;204;237;407;179;141;229;266;202;268;249;238;272;163;174;289;218;109;224.7;225.0;225.3;225.6;225.9;226.1
Country_0 Product_2;ENSEM;201;327;403;341;217;223;304;216;348;211;207;300;376;430;460;411;157;184;422;377;437;548;823;161;444;403;373;311;478;399;386;382;758;554;513;91;472;391;206;131;269;377;632;417;364;480;505;207;275;360;405;466;221;467;353;226;341;632;296;300;336;580;481;298;633;402;381;368;441;141;511;225;363.0;371.1;369.1;367.0;359.1;368.8
